item_id;vectors
162;0.58868706|0.98671126|0.084682554|0.072557405|-0.6995473|-0.50859714|-0.27689952|0.6333424|0.41316858|-0.5637282|0.63216966|0.6211633|0.064056575|0.18488689|0.5325935|0.093580425|0.4130757|-0.009019256|-0.19412039|0.097884|-0.04349661|-0.6076579|-0.4930339|-0.21159306|0.50454086|0.76042366|0.5155232|-0.3917913|-0.04294519|0.36039937|0.016574278|-0.27275443|0.053392142|-0.5963721|0.2355251|-0.38432363|-0.76075846|0.3358746|0.75231034|-0.03758034|1.0793744|0.35100207|-0.23927426|-0.024170667|-0.39430106|0.10933844|-0.2667342|-0.62523043|-0.25222558|-0.00053037703|0.057108104|0.21880898|0.3382153|0.20292534|-0.08060131|-0.5522741|-0.6945243|0.09088391|-0.5064068|-0.5596838|-0.28360057|-0.22541183|0.26913762|0.7871345|0.3049214|0.09504768|-0.54097396|0.07600097|0.32197285|-0.37126493|0.20005262|-0.59642637|0.5125997|0.05155623|0.08885996|0.3698878|0.12881623|0.16258323|-0.6851879|0.30266726|-0.25067723|0.9540101|-0.5057601|-0.055874422|-0.0149614215|-0.021531075|-0.16034281|-0.64967823|-0.029373795|0.5010842|-0.11065236|-0.06388989|-0.24249977|0.43578118|0.09342572|0.31439793|0.32320338|0.071015924|-0.4321217|0.12651217
163;0.47865131|0.0024193525|0.25611663|0.04315141|-0.7605289|-0.8264918|-0.31787738|0.7498493|0.610401|-1.0887592|0.6678569|0.852767|0.54486996|0.32933187|0.61774427|0.35705346|-0.013752148|-0.61487|-1.0979983|-0.9694953|0.2201285|0.23755786|-0.80721843|0.5138862|0.33596733|0.6172074|-0.05138257|-0.45252383|-0.084545866|0.25152498|-0.26746255|-0.28436342|0.0014493167|-0.29301843|0.54418844|-0.49479723|-0.7826996|0.24700609|0.62753713|0.20259795|0.10726696|0.91293335|-0.6615925|-0.32385933|-0.13096401|0.17156082|-0.5184615|-0.53530353|-0.30696762|-0.43257675|-0.009319097|0.24696673|0.038560808|0.00447011|0.079338394|-0.5207993|-0.57064444|0.41352803|-0.71617|0.07231301|-0.13751456|0.20336941|0.76649857|-0.13662457|0.42019475|0.653226|-0.16213089|0.22810756|0.24554236|-0.20202303|0.16077036|-0.59181404|-0.16311243|-0.33939|-0.2141775|-0.15576231|0.715889|0.68311083|-0.357004|-0.13359179|-0.040933788|0.58466125|0.14853111|-0.4420784|-0.6609206|0.3482396|-0.14594224|0.017202646|-0.15045908|0.4097908|-0.5647939|0.1764565|0.07869493|0.5072319|-0.4357473|0.35568818|0.47193456|0.49294728|-0.1042555|0.31625226
164;0.035222024|0.23271102|0.35302815|0.73264956|-0.015850306|-0.37670997|-0.40491378|-0.18164387|0.61797696|-1.1143818|0.9351776|-0.26205182|0.232057|-0.2919359|0.49771604|0.48841295|-0.031915605|-0.72204334|0.4496727|-0.75413895|0.26822758|0.16608559|0.12246364|-0.27393445|-0.2257213|0.48365757|0.031437807|-0.78144443|0.31842887|-0.11629201|0.22045664|-0.48441756|-0.099152416|-0.40422243|0.9657539|-0.8875455|-0.11121832|0.23113611|0.2597944|-0.42283422|0.87155896|0.0012865961|-0.066584826|0.5365478|-0.48613924|0.24547341|-0.58225495|-1.0974005|0.018854477|-0.13569964|0.12989648|0.7564286|0.30573767|0.34727335|0.24277055|-0.32371786|-0.16385153|-0.05576691|-0.6398554|-0.40420943|0.3388002|-0.099031806|-0.09819323|0.9992532|0.6172496|0.3276474|-0.33216274|-0.30048698|0.37967324|0.35825866|-0.62212753|-0.49529487|0.9394012|-0.7343534|0.28840205|0.07185767|-0.11053714|0.12991601|-0.8492548|-0.4516142|-0.24009618|-0.1415911|0.59066576|-0.35371134|-0.5677056|0.5004239|0.27535963|-0.15269914|-0.0074847564|0.058439314|-0.81932956|-0.24461907|0.20494494|0.39472783|0.18458568|0.27368736|0.3348543|-0.07531646|-0.3703189|0.559906
165;-0.01506108|0.76891035|0.039507896|0.85762095|-0.7897494|0.041426837|-0.6782236|0.6956619|0.5291868|-0.3039472|0.13154513|0.20548853|0.40761888|-0.17889637|0.52396864|0.3511431|0.32564563|-0.7556336|-0.42746252|-0.43555388|0.48481297|0.08090875|0.016594246|0.11726619|0.54517996|1.4470372|0.23484287|-0.48901257|-0.0050221086|-0.08113699|0.19959082|-0.032699943|0.1531046|-0.5328777|0.14718217|0.2105962|-0.4906985|0.6099468|0.19788164|-0.31259218|0.989632|-0.08685064|-0.60759354|-0.33935654|-0.73225605|0.050441876|-0.6954931|-0.5357739|0.16510892|-0.24291188|0.71920335|-0.5202451|0.1959927|0.5542741|-0.29154256|-0.6577071|-0.88375086|0.23880988|-0.14525014|0.06798883|-0.07144831|-0.8145166|-0.22428131|0.4705253|0.1550852|0.049220562|-0.16969869|0.04050302|0.4543088|-0.76437616|-0.1427841|-0.12389025|0.09627335|-0.33034036|-0.011707455|0.18025376|0.022014856|0.74930906|-0.32183254|0.2518779|-0.30112398|0.24762602|0.1466851|-0.82112306|-0.5337817|0.40889773|-0.15931365|0.44160035|0.5864233|0.67944527|-0.45180473|0.020665467|0.2594696|0.79986036|0.63322484|0.6415314|-0.097230285|0.5531522|0.4014883|0.40089262
166;0.5854806|0.31847578|0.94779825|0.19056574|-0.25116077|-0.33655667|-0.53093714|0.08488132|1.0963751|-0.667785|0.802747|0.23191716|0.39808956|-0.44633955|0.33254164|0.32362768|0.09865142|-0.8631587|-0.22266544|-0.5712308|0.16841991|-0.050492898|-0.39491928|0.040128127|0.011607498|0.41352677|-0.047635704|0.3836334|0.66572165|-0.18828271|-0.25830865|0.05094768|0.06465948|-0.6265946|0.24643217|-0.38923883|-0.43603414|0.86942196|0.22858496|-0.36212584|0.21758455|0.34037837|-0.036259234|-0.5344695|0.34546453|-0.027539179|-0.598503|-0.19710532|-0.39300784|-0.45355013|0.14406449|-0.2830253|-0.07357256|0.7145209|0.05983933|-0.5145103|-0.3734887|0.46372718|-0.13363323|-0.26476532|-0.029227465|-0.3521927|0.14366025|0.034523368|0.14270632|-0.12056628|-0.31245157|-0.122509345|0.35449025|-0.4912303|-0.2402482|0.17974041|0.41900456|-0.31633312|-0.23372252|-0.008549571|0.39197963|0.9474779|-0.76574314|-0.2579208|-0.5936592|0.5976588|-0.47506684|-0.7120501|-0.7246668|0.058634996|0.2438494|-0.22443928|0.21416566|0.44294488|-0.38743928|0.010547906|-0.28949845|0.66309124|-0.40943226|0.33992746|0.4459095|-0.022661686|0.0067764595|0.61058515
167;0.38369176|0.09692997|0.16969079|0.48810154|-0.5242173|-0.35767478|-0.63530266|0.87935704|0.6117568|-0.74830467|0.39839584|0.20511341|0.36372262|-0.2620752|0.12129778|0.13747016|0.74810827|-0.51322055|-0.4546087|-0.37595165|-0.034872413|0.42656192|0.45008564|-0.4045743|-0.07539803|0.4605537|0.1321027|-0.2621781|0.563281|-0.6235008|0.67630255|0.09341906|-0.046308845|-0.62945956|0.21583079|-0.69098496|-0.3077204|0.63404274|-0.042547673|-0.299784|0.44879717|0.39494014|-0.65715754|-0.52760094|-0.85403895|-0.11279774|-0.44916403|-1.0052357|-0.291126|-0.0759837|1.1115404|0.49948817|0.3283667|0.4520062|0.018168338|0.30666688|-0.1442814|1.3848516|-0.32209516|-0.5976124|-0.7065409|-0.32282543|-0.27832893|0.33112168|0.5084779|0.026002854|0.15664959|0.027702704|0.35956782|-0.09046626|-1.0724326|0.19386224|-0.07039878|0.01359801|-0.3798284|-0.12216618|0.25025645|-0.016041517|-0.5672635|-0.25273165|0.5233213|0.7240839|-0.40115514|-1.061038|-0.523103|1.2560263|0.2471565|-0.2106066|-0.020450942|-0.07297242|-0.5614539|-0.25760272|0.11187426|0.3038748|0.36773214|0.23411416|-0.47013202|-0.32893702|-0.14543983|0.31804374
168;0.24806356|1.2487392|0.27513623|0.7729591|-0.28634873|-0.26808077|0.28180492|0.6158065|0.6708888|-0.9080242|0.465905|1.0035793|-0.06738147|-0.038326636|0.73522997|-0.013533026|0.5927111|-0.43304163|0.072077855|-0.16387445|1.1308582|0.8732416|-0.22325768|0.4476279|0.31276387|0.43950963|-0.5277226|-0.6977484|-0.04120417|-0.2671904|-0.13071933|-0.28046417|0.86030066|-0.35666537|-0.14138651|-0.38307005|-0.75561947|0.9257834|0.41019046|0.19981593|0.28489742|0.1384442|0.17545474|-0.5303856|-0.52181983|0.011820346|-0.34572148|-0.19788267|0.23783553|0.28212625|-0.14387307|0.479268|0.45606208|0.29707325|-0.18834642|0.2826961|-0.50703454|0.49212095|-0.6281408|-0.5357753|-0.41237992|-0.31372133|0.25753227|0.53190243|0.27263647|0.49301678|-0.13032955|0.12614928|0.5510375|0.0884133|-0.3411964|-0.352206|0.4225696|0.018914565|0.23266263|0.118082196|0.523345|0.44513053|-0.38549045|-0.23195569|-0.075276166|0.49035782|-0.2532931|-0.43605968|-0.61897635|0.838948|0.22189514|0.20465207|-0.36596394|-0.41403055|-0.6087039|-0.6138848|-0.46760997|0.27498356|0.0097666085|-0.07429457|0.9705857|0.5023434|0.25370193|0.96424556
169;0.5890325|0.56448257|0.9225507|0.106286004|-0.5490716|-0.6390306|-0.3811242|-0.30365747|0.8474227|-0.3456907|0.30761856|0.47043732|-0.077115834|-0.12900317|0.34554917|0.3839727|0.03431256|-0.50923485|0.2634673|-0.16645402|0.59810776|0.2663317|-0.5224377|0.67215586|0.2728773|0.5194932|0.335281|0.32504126|0.31983095|-0.34456837|-0.28866613|-0.70246065|0.35418683|-0.30401912|-0.1605052|-0.4400335|-1.0468822|0.19022387|0.7643863|-0.004065886|0.20378682|0.019560158|-0.52677006|-0.25013876|-0.61402774|0.4268334|-0.40328908|-0.75733364|-0.73132706|0.048874564|-0.018645167|0.2657128|-0.2794392|0.60407525|0.09277136|0.3567635|-0.0455105|0.89548695|-0.47566465|-0.102909625|-0.37767473|-0.15741962|0.45215067|-0.072491914|0.65122175|-0.24836631|-0.9070004|0.14292972|0.18853237|-0.38049966|0.20895207|-0.5830683|0.7278369|0.020633012|-0.16556324|0.33656684|0.7660451|0.27588198|-0.27031186|-0.0296949|-0.24908698|0.42896694|-0.015539862|-0.4462729|-0.33929226|0.21809399|0.48912576|-0.22747953|0.025941804|0.25779337|-0.17204739|-0.1910562|0.26074567|0.44807515|-0.80828375|-0.10039154|0.5662888|0.054373026|-0.20575963|0.4032582
170;0.027785867|0.6022031|0.6170017|0.5608445|-0.53506905|-0.1484969|-0.8891855|0.36765373|0.2223274|-0.9609236|0.15792239|0.66326404|0.48640475|-0.44904244|0.9611757|0.19568324|0.16323121|-0.52740407|-0.23957959|-0.80040395|0.38722295|-0.08314924|-0.054624423|-0.057275593|0.30081952|0.3062591|0.48905087|-0.3988059|0.006550178|0.08913097|-0.06770233|0.2773432|-0.0406017|-0.48448357|0.078051984|-0.6964239|-0.3037247|0.23928654|0.95555854|-0.1462892|0.72338325|-0.46932498|-0.48634237|-0.23895605|-1.0838573|0.23413394|-0.83950925|-0.51125705|-0.13297313|0.42442128|-0.11851266|-0.12514347|-0.17003308|0.835983|-0.5816086|-0.09785187|-0.2669547|0.49084795|-0.34889412|0.03688132|-0.31969333|-0.5008481|-0.3957573|0.39104706|0.31755543|-0.1973867|-0.43565065|0.36230654|-0.11496304|0.06523791|-0.49387553|-0.3701031|-0.15547565|0.07810196|0.42383903|-0.37321955|0.62644523|0.7047257|-0.7233834|-0.31943077|-0.35660124|0.8981259|-0.6050144|-0.21260822|-0.23595768|0.6019869|0.237037|-0.1629434|0.053045847|0.33767846|0.15480833|-0.56717366|0.12331159|0.48866445|0.3112091|0.5380435|0.023795426|0.46820128|-0.2642553|0.34894386
171;-0.04173395|0.6961331|0.5551862|0.30046245|0.1646443|-1.1277556|-0.25571764|0.20133513|0.3747622|-0.49405417|0.791088|0.40710327|0.20948642|-0.19213966|0.4830223|0.24748224|-0.010034397|-0.38816905|-0.36132652|0.021353781|0.44111457|0.37434375|-0.15798986|-0.114174575|0.17050895|0.36693105|-0.2060819|-0.22360592|0.7654078|-0.428078|-0.21448259|-0.50600886|-0.44033286|-0.30611575|0.4506601|-1.5197723|-0.17866805|0.7969212|0.65607804|0.7446172|0.23647013|0.45128405|0.09068984|-0.4569156|-0.7869369|0.32804433|-0.848105|0.15903464|-0.42673883|0.23599559|0.53677833|0.4869625|0.5811367|0.5097578|0.11013169|-0.10501796|0.2667393|0.9308667|-0.94762087|-0.20924412|-0.9155765|-0.7406912|0.0973912|0.42176124|0.029959992|0.7860898|-0.16555914|-0.42952806|0.12069811|0.5582683|-0.7566831|-0.15436181|0.45889068|0.07281408|0.16834247|0.02590878|0.8004041|0.29020074|-1.0376788|0.32375062|-0.41740707|-0.36741444|0.59118676|-0.5621239|0.17405367|0.4939803|0.21089964|0.84436643|0.461709|1.2233369|0.46132344|-0.19800264|0.21312633|-0.114203036|0.59894454|-0.22900972|0.73541355|0.18641901|0.13822176|0.31722742
172;0.42103624|0.14554027|0.71565354|0.09265226|-0.6812507|-0.8090118|-0.27286988|-0.19539317|1.0089847|-0.78118086|0.87711906|0.17188847|0.20340717|0.13948445|0.45092845|-0.23491237|0.01861924|-0.45837444|0.00810127|-0.5166773|0.6913974|0.28741866|0.18696728|0.34048307|0.48453927|0.0011395216|-0.48310852|-0.033020765|0.6002557|-0.7191787|-0.07087355|0.2472276|0.16521844|-0.45318282|0.4839868|-0.2843156|-0.35083586|0.41604823|0.32897562|0.1247649|0.90311134|0.03511402|-0.32528526|-0.6727397|-1.4486761|-0.16188267|-1.2876481|-0.64660317|-0.4141551|0.18468413|0.3131959|-0.17337781|-0.021642223|0.05358997|0.006511092|-0.5561067|-0.13795286|0.33861628|-0.7623042|0.22970912|-0.045570463|-0.44329223|0.62675595|0.6243733|-0.14960086|0.6149456|-0.6595837|0.22873443|-0.16862433|0.28466338|-0.3687747|-0.13902345|0.6253426|0.12616175|-0.060886383|0.23525949|0.16627702|0.24031213|0.13176307|-0.34601265|-0.124062315|0.23735891|0.36592937|-0.062226847|-0.28141415|0.52676797|-0.298373|-0.4270549|-0.17244399|0.74575186|-0.8086647|-0.58949614|-0.336252|0.47860214|0.32054943|1.0213059|0.44202545|-0.16855925|0.7413033|1.2299519
173;0.32736444|0.6143544|0.7850534|0.55777913|0.3319326|-0.34034666|-0.72701395|-0.41574085|-0.3769816|-0.7440041|0.1411081|-0.050354928|-0.056237847|-0.49210876|0.7770664|0.009637624|0.09347887|-0.5361754|-1.0372865|-0.54948354|0.24269548|-0.08838691|-0.6717206|0.8642905|0.42840117|0.117969275|0.6289956|-0.6289089|0.50524443|-0.536451|0.28505874|-0.37484932|-0.2564369|-0.34411424|0.26206017|-0.13689351|-0.12066214|0.6794655|-0.25159147|-0.02372472|0.0155597925|-0.096975595|-0.8255156|-0.33451903|0.39610898|0.5687691|-0.45510024|0.0048383176|-0.22635925|0.31843153|0.47440577|0.07675118|0.40061426|-0.16817918|-0.43300474|-0.9077022|-0.3003772|-0.78674185|-0.27198136|0.1712252|-0.32163587|0.032429457|-0.14953011|1.0105379|0.19267789|-0.13307472|-0.09508276|-0.18987174|0.47492373|-0.4827156|-0.77513206|0.5224765|0.9814865|0.36220714|0.19289361|-0.17520426|0.18398467|-0.077772915|-1.0826514|-0.38972965|-0.60251087|-0.18132403|-0.32014444|0.15996948|-0.88959694|0.17125003|0.5008477|-0.7725173|0.44679138|0.5468921|-0.021076083|0.35098284|0.6853873|1.0578814|-0.120747335|0.391028|0.3706153|0.5869771|0.023532428|0.25949895
174;0.7585467|0.60548913|0.81724775|0.20368513|-0.55766815|-0.6935034|-0.500473|0.35524112|0.44501066|-0.47921628|0.37636408|0.8819209|0.15342176|-0.28920752|0.4263407|-0.19283226|0.36373472|-0.677143|0.6278521|-0.6050825|0.42556292|-0.2730238|-0.575538|-0.24993643|0.038641214|0.9170346|0.16184281|-0.06096992|0.10924303|0.2537798|-0.75846195|-0.38573244|0.09769854|-0.9540973|0.34000832|-0.5070747|0.03514105|0.64377165|0.44135067|-0.11360952|0.6416241|0.257492|-0.24964243|-0.53237885|-0.29513577|-0.029658854|-0.24436355|-0.8081445|0.08037744|-0.7908344|0.13940458|-0.019250602|-0.65064245|0.4910302|-0.051045243|0.31418684|-0.405494|0.31447345|-0.60779035|-0.050242573|-0.19995342|-0.08719677|-0.31327012|-0.15008688|0.26439518|0.073865935|-0.45089167|0.24690291|0.042604044|-0.0011280626|0.069880754|-0.090907715|-0.1698016|-0.15437934|-0.0073070824|-0.009088047|-0.12801573|0.5372256|-0.19042218|-0.04885722|-0.9868529|0.8507636|-0.016866498|-0.13740519|-0.40923768|-0.0636161|0.29031956|-0.25795412|-0.10161251|0.2933504|0.20471133|0.40814638|0.13903472|0.35476702|-0.18551534|0.40322828|0.6455523|-0.07197744|-0.4434198|1.2433779
175;0.4149068|0.49092814|0.5573203|0.018753678|-1.2443864|-0.61337113|-0.017923713|0.02255933|0.47418463|-0.35941628|0.4730991|0.2771271|0.19183123|-0.2275911|0.12548584|0.4738469|-0.009272054|-0.72787297|0.46472162|-0.033037037|0.6960856|0.72683173|-0.24658257|-0.14109245|-0.0804511|0.74511063|-0.033520296|-0.08981486|0.20250675|-0.13802972|0.53603315|-0.23673551|0.29039788|-0.52619505|0.21640892|-0.9440782|-0.8262929|0.7907281|-0.09014508|-0.39472282|0.2182934|0.39374524|-0.19026187|-0.33407357|-0.16892871|0.72149265|-0.6715249|0.042500377|0.0806298|0.43380475|0.16585158|0.11341236|0.3540086|0.84371555|-0.3702147|-0.5120261|0.033105463|0.30066323|-0.8476838|0.5561547|-0.46496594|0.323854|-0.37820753|0.8132491|0.31031552|0.13409263|-0.02801907|0.43840814|0.52637434|-0.00047187507|-0.36986315|-0.27018687|0.44780988|-0.6741817|0.25219917|-0.25811434|0.79196453|0.4557699|-1.4630051|-0.3069803|-0.63241243|0.15798375|0.10553273|-0.89574486|-1.0888581|0.34845287|0.1721654|-0.46191368|1.0396687|0.13047269|-0.4590004|0.29686308|-0.34030834|-0.26741076|0.68301857|0.2077987|0.40395752|0.83485126|0.033030957|0.4931317
176;0.9422623|0.41320765|0.34214792|0.22719383|-0.87268186|0.03671381|-0.35186556|0.5515994|0.52808744|-0.9464856|0.81733257|0.46348482|0.045470297|0.21321715|0.42653006|0.13866013|0.16896646|-0.4643858|-0.039041013|-0.35162657|0.089654|0.118730396|0.07488108|-0.26949897|0.76191956|0.80762386|0.8870497|-0.04531759|0.23255876|-0.6125873|-0.1477974|0.3301956|0.02230385|-0.30551386|0.41589797|-1.1209618|0.052766144|0.5650435|0.33454305|-0.5336936|0.90566504|0.426571|-0.77064157|-0.59837866|-0.2384853|0.33221722|-0.76013255|0.074860185|0.025782116|0.37305433|0.25206375|-0.13874796|-0.018904999|0.403839|0.48699796|-0.08748485|0.012408018|0.37369016|-0.54833674|0.15102741|-0.013575584|-0.4033421|-0.15670025|0.842046|-0.1337221|-0.27158844|-0.5993496|0.35705727|0.11271486|-0.057473287|-0.48316884|0.28827262|0.163461|0.21059063|-0.22641332|-0.225526|-0.1363248|0.48445743|-0.46888936|-0.23809384|-0.41610745|0.22908519|-0.5185514|0.01697293|-0.49204278|0.38623765|0.38274562|-0.12600361|0.081755035|0.7301641|-0.042627662|-0.0016944557|0.156003|-0.030087233|0.5068878|-0.27061763|0.47923255|0.5165764|0.14980596|0.7873378
177;0.38524306|0.8306595|0.27415735|0.14156473|-0.71542215|-0.8933445|-0.23556903|-0.6584102|0.6496656|-0.6373794|0.8162526|0.52104676|0.14985792|-0.8302921|0.0008315146|0.35757688|-0.14690158|-0.15650892|-0.37601584|-0.45843908|0.91982865|0.10117984|-0.27848864|0.48869544|0.072845325|0.5612468|-0.12503755|-0.3651711|0.12146166|-0.19940603|-0.33949864|-0.2406763|0.48285854|-0.8740555|0.49820375|-0.32288823|-0.27167207|0.7712806|0.00743109|0.0017490163|0.6569302|0.50872374|-0.31763798|-1.0997638|-0.3064447|0.30082566|-0.91497886|-0.08135879|0.30362147|0.71103007|-0.054733425|0.0114747435|-0.29317665|0.93367314|0.14868012|-0.46228588|0.006097734|0.2730098|-0.292263|0.15913528|-0.5247489|-0.5176271|0.6765106|0.030715108|0.0991347|0.39994907|-0.023077935|-0.0056828633|0.32579878|-0.81016576|0.24497157|0.032601833|0.16999438|-0.5977397|-0.050845295|0.33519036|0.7532418|1.0259669|-0.23463607|-0.31854746|-0.6933595|0.22406341|-0.68619436|-0.32521442|-0.5371844|0.4262418|-0.16547939|-0.4106804|-0.17384043|0.5609824|-0.37187752|-0.13253805|-0.78999275|0.64703745|-0.2071394|0.17576575|0.04256788|-0.012634456|0.353678|0.47234577
178;0.053652167|0.28256541|0.14927574|0.08847889|-0.4561568|-0.19830976|0.015819341|0.04040149|0.022296548|-0.97394097|0.43187147|0.40365326|0.46914655|0.51802635|1.1747075|-0.3809127|-0.15498847|-0.4101639|-0.36699602|0.007715285|0.8492492|0.0902168|-0.7556307|0.30803666|0.82120913|0.44789535|0.4427619|-0.4929006|-0.033733204|-0.19259197|-0.8453046|-0.22841515|0.32516614|-0.8164743|0.32877955|-0.88787425|0.20173264|0.06963372|0.0029046535|-0.012579046|0.40975535|0.7091492|-0.62430525|-0.03179699|-0.4422967|-0.13395104|-1.02878|-0.7117041|0.17978477|-0.30749223|0.5300046|0.27212015|0.15876171|0.540429|0.3007762|0.049702108|0.49849558|0.29161513|-0.9300113|0.5473379|-0.6086309|-0.25730288|0.35518202|0.46720776|0.14676282|0.19291408|0.026837349|0.2946913|-0.07314499|-0.29438746|-0.2970961|0.31705385|0.406441|-0.457049|-0.39648193|0.14671895|1.0351648|0.7402877|-0.5241749|-0.11808625|-0.15760992|0.5162287|0.06875489|-1.0495377|0.06454089|0.3895328|0.11532886|-0.30573708|0.19683549|0.9062993|0.5860844|-0.66365653|0.14427736|0.3518758|-0.0074102953|0.12886061|0.6609681|0.28571895|0.14881863|0.8143543
179;0.3756718|0.32803175|-0.12897953|0.237032|-0.29469287|-0.7374892|-0.031243414|0.22282282|0.36023176|-0.7154389|0.41025412|0.28171575|0.7218925|-0.42058837|0.47952116|0.26732466|-0.27683237|-0.14939454|-0.26080725|-0.565078|-0.0748221|0.30868423|0.05035743|0.3209027|0.04381229|0.20807299|-0.23087776|-0.70163536|0.21676156|0.43064135|-0.106857404|-0.7662241|-0.16651082|-0.06882003|0.33700103|-1.1176938|-0.43999726|0.18014055|1.2060891|-0.4186799|0.8677908|0.24970509|-0.4261859|-0.93560094|-0.49739864|0.14918813|-0.30480126|0.010217667|-0.8270213|-0.18539062|0.5059952|0.16605943|0.61820614|0.36222714|-0.5386639|-0.39943478|-0.6504551|0.8471188|-0.52952653|0.0655412|0.12594196|-0.6635639|0.13224342|-0.36014175|0.37439007|0.24803701|-0.13962519|-0.34885287|0.40894088|0.06516948|0.020390064|-0.38730428|0.17672586|-0.08182812|1.0830176|-0.29581976|0.21095046|0.5870295|0.124532014|0.27539164|0.10803795|0.6612886|-0.32120764|0.4659508|0.35595936|0.8393967|0.053212807|0.2210466|-0.2308459|0.38382584|-0.53334177|0.32973862|-0.5346065|0.59435236|-0.22898847|0.7013805|0.6592419|-0.15692294|-0.81994545|0.111329615
180;0.63094914|1.2422618|1.5558602|0.5475594|-0.4259443|0.19445539|-0.28200388|-0.06958017|1.0407968|-0.7771084|0.50330764|0.86180156|0.33638653|-0.84696287|0.6204293|0.71332955|0.26798385|-0.8539437|0.2069271|-0.31129202|0.34012288|-0.11164072|-1.1811614|0.16616303|-0.05997756|0.25308773|0.21882448|0.083949864|1.1326667|0.7477718|-0.21169536|-0.0426919|0.038841143|-0.08889815|0.26895574|-0.5659939|-0.48864138|1.2656038|-0.13346466|0.21058121|0.5436077|-0.12435037|-0.9428359|-0.19261596|0.24107027|-0.08592856|-0.27094796|-0.82011056|0.44943634|-0.3273695|-0.3167689|0.122952655|-0.88372654|1.0871052|0.4429443|0.05917865|-1.0489016|-0.27923498|0.22885653|0.31686205|-0.6127243|-0.21698463|-0.018252492|-0.29374552|0.7125317|0.89755434|-0.9226396|-0.2006407|0.016422898|-0.8580711|0.26625144|-0.5342831|0.7658886|-0.97023225|0.46384877|-0.16183631|-0.15025249|0.7606566|-1.2456411|0.21281444|-1.5152768|0.17325321|-0.19710723|-0.32687825|-0.30164316|-0.16106784|0.2408131|-0.22499816|0.09801055|-0.33123964|-0.2095088|0.17255242|0.74254405|1.265622|-0.09864805|0.8374586|0.15201618|0.29265556|-0.15582159|0.42169344
181;-0.14478919|0.79373103|0.25571272|0.249688|-0.38426602|-0.16934007|-0.48843557|0.15337089|-0.25265297|-0.95222306|0.3624164|0.07373333|0.28941676|0.5175111|0.2422703|0.61590874|0.22769555|-0.6462168|-0.43331265|-0.71393394|0.66312957|0.18626687|0.32655573|0.41768712|0.5099504|1.1125836|-0.079366386|-0.6835405|0.02189289|-1.1128095|0.45629925|-1.1061226|0.18392897|-0.601142|0.3522423|-0.71115375|-0.6593938|0.23722336|0.18512364|-0.60119015|0.3514962|0.27596462|-0.56648785|-0.47653478|-0.87005556|0.10214082|-0.7337623|-0.2184484|0.4386374|0.026087612|-0.14093217|-0.20259553|0.6535624|0.3392915|-0.11566785|0.21148792|-0.39602685|0.03433174|-0.37930274|-0.2806787|-0.27455813|-1.0075203|-0.41624752|0.21855445|0.04626544|-0.10570213|-0.70276916|0.46033633|0.49151403|0.10848373|-0.3519874|-0.15013376|0.1770421|-0.09780062|-0.33643132|-0.17180696|-0.32530087|0.35668957|-0.46133405|-0.47890705|-0.48217493|0.54838294|-0.50493264|-0.37426472|-0.35790962|-0.0290007|-0.051132917|-0.7525375|-0.28833005|0.25502637|0.19851764|-0.26797163|-0.44915867|0.55463874|0.33517107|-0.41541883|0.06065008|0.23896538|0.31706434|-0.16529864
182;0.19881196|1.0393035|0.7074642|0.8730408|-0.19929817|-0.43632323|-0.95308805|0.44509858|0.65321356|-0.9783059|0.8806838|0.040105402|1.0224596|-0.1488898|0.011244059|-0.23929822|0.13045579|-0.31867442|-0.8795766|-1.0946987|0.13731325|0.4748861|-0.9681056|0.942629|0.06040494|0.76145697|-0.11790314|0.23764065|0.76252264|-0.07728785|-0.4272452|0.13796522|0.64255226|-0.0005066991|0.15815584|-0.83907175|-0.44140068|0.5231026|0.02150011|0.07490874|0.45412487|-0.14760995|-0.39703107|-0.46864742|-0.9840949|0.5804472|-0.58074975|-0.6862917|-0.050204154|-0.4442699|-0.22526261|-0.3109131|0.32983974|0.039473057|-0.25950378|0.34821698|-0.5108159|0.8769939|-0.7820544|0.5641469|-0.04953088|-0.86327434|-0.5615895|0.11146119|0.61092126|-0.11801991|-0.7600125|-0.13226481|-0.066267386|-0.36420178|-0.46134096|-0.35594162|0.5434559|-0.32611835|0.24861443|-0.42497864|-0.055552065|0.3023975|0.043243855|0.26070684|0.2132887|0.52579343|0.22810936|-0.25494033|-0.44036195|0.33534187|-0.13426968|-0.27308726|-0.14480086|0.013774365|-0.38864076|-0.15868448|0.14606145|0.81505233|0.24772039|0.16155091|0.21998173|0.118218645|-0.16404417|-0.15047133
